Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1398749692,HXL0464,PA,PAS,06/24/2017,14,VAN,JEEP,P,38430,18630,73690,0,0088,88,110,358931,T110,0000,0625A,,K,O,402,EASTERN PKWY,,0,408,C,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1398751765,HSL6756,NY,PAS,07/11/2017,16,SDN,NISSA,P,13610,25010,14010,0,0001,1,0,330346,0SIO,0000,0957A,,NY,F,414,BROADWAY,,0,408,D1,,YYYYYBB,0700A,0700A,GRAY,0,2017,-,0,,,,,
1398759193,GWY8601,NY,PAS,07/10/2017,51,SUBN,BMW,P,0,0,0,20190413,108,108,109,358595,0109,0000,0136P,,Q,,,EASTSIDE,SKILLMAN SOUTH,0,408,J6,,BBBBBBB,ALL,ALL,BLACK,0,2005,-,0,,,,,
1399031417,K518GN,NY,999,07/14/2017,21,SDN,NISSA,S,26790,30790,29290,20180102,0005,5,0,588419,MN02,0000,1006A,1100A,NY,F,208,MOTT STREET,,20170714,408,D1,,BYBBYBB,0930A,1100A,BLUE,0,0,-,0,,,,,
1399031466,HDG7313,NY,PAS,07/03/2017,21,SDN,VOLKS,S,21790,45090,15420,20180425,0006,6,0,588419,MN02,0000,1156A,1153A,NY,O,585,GREENWICH STREET,,0,408,D1,,YBBYBBB,1100A,1230P,GRAY,0,2008,-,0,,,,,
1399108890,GPS3390,NY,PAS,06/30/2017,17,SUBN,ME/BE,S,18730,10010,45590,20180729,0019,19,0,979814,MN08,0000,0325A,,NY,F,427,E 87TH ST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,2014,-,0,,,,,
1399203782,HSE9348,NY,999,06/22/2017,21,SDN,HYUN,S,63290,20850,20830,20170708,105,105,0,535068,QE13,0000,0836A,,Q,O,115-42,SPRINGFIELD BLVD,,0,408,D1,,BBBYBBB,0800A,1000A,BLUE,0,2017,-,0,,,,,
1399203794,GAV7154,NY,PAS,06/22/2017,21,SUBN,CHRYS,S,63290,20570,20630,20180716,105,105,0,535068,QE13,0000,0838A,,Q,F,112-45,SPRINGFIELD BLVD,,0,408,D1,,BBBYBBB,0830A,1000A,WHITE,0,2012,-,0,,,,,
1399203800,GYQ6468,OH,PAS,06/22/2017,21,,BMW,S,63290,20460,20520,0,105,105,0,535068,QE13,0000,0841A,,Q,F,111-25,SPRINGFIELD BLVD,,0,408,D1,,BBBYBBB,0830A,1000A,SILVE,0,0,-,0,,,,,
1399203812,HCZ2924,NY,PAS,06/22/2017,21,SDN,DODGE,S,63290,20460,20520,20180218,105,105,0,535068,QE13,0000,0843A,,Q,F,111-25,SPRINGFIELD BLVD,,0,408,D1,,BBBYBBB,0830A,1000A,WHITE,0,2006,-,0,,,,,
